date,gilt,bund,ust
2025-10-30,4.471420350316273,2.67,4.11
2025-10-31,4.477307980685369,2.67,4.11
2025-11-03,4.507278932802223,2.67,4.13
2025-11-04,4.473480207728537,2.67,4.1
2025-11-05,4.5312195135618625,2.68,4.17
2025-11-06,4.50250775543973,2.69,4.11
2025-11-07,4.525123604184502,2.7,4.11
2025-11-10,4.521070085001918,2.7,4.13
2025-11-12,4.474160971960976,2.7,4.08
2025-11-13,4.505429647683546,2.68,4.11
2025-11-14,4.636921423261095,2.74,4.14
2025-11-17,4.610873275266146,2.74,4.13
2025-11-18,4.618791323955653,2.72,4.12
2025-11-19,4.683571312128241,2.74,4.13
2025-11-20,4.659264437772194,2.76,4.1
2025-11-21,4.614149634431268,2.72,4.06
2025-11-24,4.624088937232524,2.73,4.04
2025-11-25,4.570492305444939,2.73,4.01
2025-11-26,4.510920115106663,2.71,4.0
2025-11-28,4.533548757151312,2.72,4.02
2025-12-01,4.565277462099516,2.76,4.09
2025-12-02,4.568718423601366,2.79,4.09
2025-12-03,4.5227619446297425,2.79,4.06
2025-12-04,4.516114436616302,2.79,4.11
2025-12-05,4.557079028678588,2.82,4.14
2025-12-08,4.622770230322546,2.88,4.17
2025-12-09,4.5910383717969445,2.89,4.18
2025-12-10,4.594786305337523,2.92,4.13
2025-12-11,4.55675523664772,2.9,4.14
2025-12-12,4.600394537855356,2.9,4.19
2025-12-15,4.571528451591478,2.88,4.18
2025-12-16,4.599436396152745,2.89,4.15
2025-12-17,4.552704385591164,2.89,4.16
2025-12-18,4.559347296421199,2.89,4.12
2025-12-19,4.602259652560369,2.93,4.16
2025-12-22,4.624095304213962,2.94,4.17
2025-12-23,4.593904626596222,2.91,4.18
2025-12-29,4.575121569012152,2.9,4.12
2025-12-30,4.583820102727132,2.89,4.14
2026-01-02,4.626484542549445,2.91,4.19
2026-01-05,4.603328347062279,2.94,4.17
2026-01-06,4.5811148539737365,2.9,4.18
2026-01-07,4.5104403176399135,2.84,4.15
2026-01-08,4.506951443944098,2.88,4.19
2026-01-09,4.469734038330506,2.87,4.18
2026-01-12,4.464995250711192,2.87,4.19
2026-01-13,4.483894911406935,2.88,4.18
2026-01-14,4.448166754181149,2.86,4.15
2026-01-15,4.4734059761420175,2.83,4.17
2026-01-16,4.500418438800351,2.84,4.24
2026-01-20,4.557013681667537,2.9,4.3
2026-01-21,4.543794490208647,2.88,4.26
2026-01-22,4.5770227015428375,2.88,4.26
2026-01-23,4.592095287296492,2.91,4.24
2026-01-26,4.588525703534622,2.9,4.22
2026-01-27,4.617789686074891,2.9,4.24
2026-01-28,4.637743421190304,2.87,4.26
2026-01-29,4.606208540348957,2.87,4.24
2026-01-30,4.627391175595525,2.87,4.26
2026-02-02,4.61404221939848,2.87,4.29
2026-02-03,4.617787426950268,2.9,4.28
2026-02-04,4.642073544618521,2.9,4.29
2026-02-05,4.657410578163457,2.89,4.21
2026-02-06,4.638065482593509,2.85,4.22
2026-02-09,4.648018760178777,2.88,4.22
2026-02-10,4.6119325947949,2.85,4.16
2026-02-11,4.599113529955446,2.82,4.18
2026-02-12,4.561956180330087,2.82,4.09
2026-02-13,4.52215773274971,2.8,4.04
2026-02-17,4.489286248619139,2.76,4.05
2026-02-18,4.489107819050341,2.77,4.09
2026-02-19,4.488538051461226,2.78,4.08
2026-02-20,4.467316097471115,2.76,4.08
2026-02-23,4.4286300531624665,2.76,4.03
2026-02-24,4.42330741233414,2.73,4.04
2026-02-25,4.429097757836517,2.75,4.05
2026-02-26,4.3958015543573765,2.74,4.02
2026-02-27,4.351930609195932,2.71,3.97
2026-03-02,4.412464985847554,2.69,4.05
2026-03-03,4.555329397671693,2.82,4.06
2026-03-04,4.486466999519028,2.78,4.09
2026-03-05,4.5762120051547726,2.81,4.13
2026-03-06,4.70340940891731,2.87,4.15
2026-03-09,4.666753508354413,2.91,4.12
2026-03-10,4.596616573006339,2.87,4.15
2026-03-11,4.7341337537265655,2.92,4.21
2026-03-12,4.816233790922558,2.96,4.27
2026-03-13,4.854443184171123,2.97,4.28
2026-03-16,4.793902535240976,2.98,4.23
2026-03-17,4.7352617149231655,2.95,4.2
2026-03-18,4.784952235241257,2.91,4.26
2026-03-19,4.854795970880194,3.01,4.25
2026-03-20,4.9960347709969115,3.02,4.39
2026-03-23,4.950506687698709,3.1,4.34
2026-03-24,4.9534340869821145,3.05,4.39
2026-03-25,4.847347459463268,3.01,4.33
2026-03-26,4.966154257501001,3.06,4.42
2026-03-27,5.009783312349838,3.15,4.44
2026-03-30,4.957855234640258,3.12,4.35
2026-03-31,4.944189405467784,3.06,4.3
2026-04-01,4.865661255667611,2.99,4.33
2026-04-02,4.859848705107134,3.07,4.31
2026-04-07,4.956056345038398,3.04,4.33
2026-04-08,4.747994234941901,2.96,4.29
2026-04-09,4.837152881681208,3.03,4.29
2026-04-10,4.84927461160389,3.07,4.31
2026-04-13,4.901611212441653,3.11,4.3
2026-04-14,4.830731205040569,3.09,4.26
2026-04-15,4.834806927687747,3.07,4.29
2026-04-16,4.887250410231807,3.07,4.32
2026-04-17,4.79750656010039,3.07,4.26
2026-04-20,4.884020495037445,3.03,4.26
2026-04-21,4.920309900450583,3.01,4.3
2026-04-22,4.927930235913444,3.04,4.3
2026-04-23,4.961563044327379,3.07,4.34
2026-04-24,4.967341232046425,3.07,4.31
2026-04-27,5.014256931183401,3.05,4.35
2026-04-28,5.04142676021496,3.1,4.36
2026-04-29,5.092945511275442,3.12,4.42
2026-04-30,5.055708273106803,3.15,4.4
2026-05-05,5.109938355191975,3.11,4.43
2026-05-06,4.98102756887954,3.04,4.36
2026-05-07,4.969123620268883,3.04,4.41
2026-05-08,4.954534992718093,3.04,4.38
2026-05-11,5.042581779468216,3.07,4.42
2026-05-12,5.1384075994746405,3.13,4.46
2026-05-13,5.113920997902159,3.13,4.46
2026-05-14,5.048319260773613,3.12,4.47
2026-05-15,5.213767626233579,3.15,4.59
2026-05-18,5.187879343828143,3.21,4.61
2026-05-19,5.165527285593403,3.19,4.67
